name,slug,description,price,stock,category_id,brand_id
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),portronics-konnect-l-por-1081-fast-charging-3a-type-c-cable-12meter-with-charge-sync-function-for-all-type-c-devices-grey,"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function for smartphones|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using",46200,26,2,1
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),boat-rugged-v3-extra-tough-unbreakable-braided-micro-usb-cable-15-meter-black,"The boAt rugged cable features our special toughest polyethylene braided jacket and this unique jacket provides greater protection than anything else you have seen in its class. Round Cable|Extra tough polyethylene terephthalate cable skin ensures 10000 plus bend lifespan, stress and stretch resistance|The boAt rugged Micro USB cable is compatible with most android smartphones, windows phone, tablets, PC peripherals and other micro USB compatible devices|2.4A rapid charge, fast data transmission and rapid speed to sync your device at the speed up to 480mbps|boAt rugged micro USB cable offers a perfect 1.5 meters in length, optimized for an easy use for your comfort at home or office|2 years warranty from the date of purchase",89700,49,3,3
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",amazonbasics-flexible-premium-hdmi-cable-black-4k60hz-18gbps-3-foot,"Flexible, lightweight HDMI cable for connecting media devices to playback display such as HDTVs, projectors, and more|Compatible with Blu-Ray players, computers, Apple TV, Roku, cable, PS4, Xbox One, and other HDMI-compatible devices|Solid copper conductors and full metal jacket shielding for durability and high-performance connectivity|Supports Ethernet, 3D, 4K video and Audio Return Channel (ARC) and meets the latest HDMI standards|Supports bandwidth up to 18Gbps and is backwards compatible with earlier versions|Includes a 3 foot cable",65700,41,5,2
"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",portronics-konnect-cl-20w-por-1067-type-c-to-8-pin-usb-12m-cable-with-power-delivery-3a-quick-charge-support-nylon-braided-for-all-type-c-and-8-pin-devices-green,"[20W PD FAST CHARGING]-It’s supports 20W PD quick charge protocol, charge up to 50% in around 30 minutes. It is ideal for charging your USB type c enabled devices at maximum speed|[USB-C to 8 Pin Cable]- It’s offer rapid charging and syncing between USB Type-C and 8 Pin enabled devices. Safe charging at up to 3A is ensured by high-standard components|[MORE DURABLE]- This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[FLEXIBLE CORD]- The Cable uses nylon Braided + Metal Housing material to make sure that the life of the cable is enhanced significantly. It is 4mm extra thick slim 1.2meter long|[UNIVERSAL COMPATIBILITY]-Charge for all Type C USB connectivity devices including MacBook 12 inch, Nexus 5x, Nexus 6p, OnePlus 2, pixel c, Lumia 950, Lumia 950 xl, Nokia n1, etc",105000,17,2,4
Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),portronics-konnect-l-12m-por-1401-fast-charging-3a-8-pin-usb-cable-with-charge-sync-function-white,"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air",47700,23,5,3
MI Braided USB Type-C Cable for Charging Adapter (Red),mi-braided-usb-type-c-cable-for-charging-adapter-red,1M Long Cable. Usb 2.0 (Type A)|Toughened Joints|Strong And Sturdy|Country Of Origin: China|6 Months Warranty,104700,70,1,5
MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),mi-80-cm-32-inches-5a-series-hd-ready-smart-android-led-tv-l32m7-5ain-black,"Note : The brands, Mi and Xiaomi, are part of the same multinational conglomerate|Resolution : HD Ready (1366 x 768) Resolution | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: Dual Band Wi-Fi | 2 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | ARC | Bluetooth 5.0 | Ethernet|Sound: 20 Watts Output | Dolby Audio, DTS Virtual: X, DTS-HD|Smart TV Features : Android TV 11 | PatchWall | IMDb Integration | Universal Search | 300+ Free Live Channels | Kids Mode with Parental lock | Smart Recommendations | Language Universe – 15+ Languages | User Centre | Okay Google | Chromecast suporting Apps : Netflix, Prime Video, Disney+ Hotstar | 5000+ apps from Play Store |Quad core Cortex A35 | Chromecast built-in | Ok Google | Auto Low Latency Mode | 1GB RAM + 8GB Storage|Display: HD Ready | Vivid Picture Engine|Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase",4199700,34,4,2
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",ambrane-unbreakable-60w-3a-fast-charging-15m-braided-type-c-to-type-c-cable-for-smartphones-tablets-laptops-other-type-c-devices-pd-technology-480mbps-data-sync-rctt15-black,"Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc)|Unbreakable – Made of special braided outer with rugged interior bindings, it is ultra-durable cable that won’t be affected by daily rough usage|Ideal Length – It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|Supports maximum 3A fast charging and 480 Mbps data transfer speed|6 months manufacturer warranty from the date of purchase",74700,48,1,2
"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",boat-type-c-a325-tangle-free-sturdy-type-c-cable-with-3a-rapid-charging-480mbps-data-transmissionblack,"Type C A 325 Cable Is Designed With A Perfect 1.5 Meters In Length For Hassle Free Usage|It Dons Premium Braided Skin That Makes It Sturdy And Invincible Against External Damage With 10000+ Bends Lifespan The Cable Stays Stronger And Lasts Longer|Type C A 325 Offers Universal Compatibility With Smartphones, Tablets, Pc Peripherals, Bluetooth Speakers, Power Banks And All Other Devices With Type C Port|The Reversible Metallic Aluminium Tip Lets The User Connect Devices In A Carefree Manner|Its Flexible Design Offers The User A Tangle-Free Experience|2 years warranty from the date of purchase",59700,37,3,5
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),lg-80-cm-32-inches-hd-ready-smart-led-tv-32lm563bptc-dark-iron-gray,"Resolution: HD Ready (1366x768) | Refresh Rate: 50 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices|Sound output: 10 Watts Output I 2 Speakers | DTS Virtual:X | Sound Type : Down Firing|Smart TV Features: Web OS Smart TV | Wi-Fi | Home Dashboard | Screen Mirroring | Mini TV Browser | Multi-Tasking | Office 365, Set WXHXD (with Stand ) mm - 739 x 472 x 168|Display: Active HDR | Display Type: Flat | BackLight Module: Slim LED|Warranty Information: 1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module from the date of purchase|Installation : For requesting installation/wall mounting/demo of this product once delivered, please directly call LG support (Please visit LG Website for Toll Free Numebrs) and provide product's model name as well as seller's details mentioned on the invoice",4047000,93,2,2
"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",duracell-usb-lightning-apple-certified-mfi-braided-sync-charge-cable-for-iphone-ipad-and-ipod-fast-charging-lightning-cable-39-feet-12m-black,"Supports Ios Devices With Max Output Up To 2.4A|Up To 10, 000+ Bend And 10, 000+ Plugging And Unplugging Test Ensure This Cable A Longer Lifespan|Ensure Fast And Stable Data Transmission Up To 480 Mbps|2 Years Warranty|Compatible Designed To Work Flawlessly With Mfi Or Apple Devices, Iphone, Imac, Ipad Etc|1.2M Tangle Free Durable Tough Braiding Sync & Charge Cable",291000,34,2,3
"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",tizum-hdmi-to-vga-adapter-cable-1080p-for-projector-computer-laptop-tv-projectors-tv,"Superior Stability: Built-in advanced Certified AG6200 IC chip converts HDMI digital signal to VGA analog signal. It is NOT a bi-directional converter and cannot transmit signals from VGA to HDMI.|Compact Design: Tizum HDMI to VGA adapter is compact & lightweight which makes it easy to carry, travel friendly and also saves space on your desk helping it keep clutter free.|High Definition Image Quality: The HDMI male to VGA female converter supports resolution up to 1920x1080 60Hz (1080p Full HD) including 720p, 1600x1200, 1280x1024 for high definition monitors & projectors.|Wide Compatibility: The adapter is compatible with Computer, PC, Desktop, Laptop, Notebook, Chromebook, PS3, Xbox, Set Top Box, TV & other devices with HDMI port. Note: Does not Support Audio.|Incredible Performance: It resists corrosion & abrasion; improves signal transmission; & protects HDMI port of your device to ensure a longer lifespan",83700,14,2,2
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),samsung-80-cm-32-inches-wondertainment-series-hd-ready-led-smart-tv-ua32t4340bkxxl-glossy-black,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices|Sound : 20 Watts Output | Dolby Digital Plus|Smart TV Features : Personal Computer | Screen Share | Music System | Content Guide | Connect Share Movie|Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design|Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice|Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description",4047000,92,1,3
Flix Micro Usb Cable For Smartphone (Black),flix-micro-usb-cable-for-smartphone-black,"Micro usb cable is 1 meter in length, optimized for easy use for your comfort at home or office, helps you to overcome distance restrictions|Durable pvc outer exterior: Pvc cables are versatile, high in tensile strength, flexible, and good conductors|Charge & sync, this usb cable can charge and data sync simultaneously at 480mbps speed, compatible with all devices with a micro usb port. Core : Tinned copper|Micro usb charging cable for android phones and any other device with micro usb port|Contact us on 1800-102-2700 or write us on support@flixaccessories.com",17700,46,5,2
Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),acer-80-cm-32-inches-i-series-hd-ready-android-smart-led-tv-ar32ar2841hdfl-black,"Resolution : HD Ready (1366x768) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: Dual band Wifi | 2 way Bluetooth | HDMI ports 2.0 x 2 (HDMI 1 supports ARC) to connect personal computer, laptop, set top box, Blu-ray speakers or a gaming console | USB ports 2.0 x 2 to connect hard drives or other USB device|Sound: 24 Watts Output | High Fidelity Speakers with Dolby Audio | 5 Sound Modes - Movie, Music, Standard, News, Sports|Smart Tv Features: Google certified Android TV 11 | Google Assistant | Chromecast built-in | Voice controlled Smart Remote | Hotkeys for Quick Access - Netflix, Prime Video, YouTube, Disney+Hotstar | 5 Picture Mode | 1.5GB RAM | 8GB Storage | 64bit Quad Core Processor|Display : 16.7 Million Colours | Wide Colour Gamut | Intelligent Frame Stabilization Engine | HDR10+ | Super Brightness | Micro Dimming | Blue Light Reduction|Warranty Information: 1 year comprehensive warranty provided by the manufacturer from date of purchase|Installation: Installation/Wall mounting/demo will be arranged by AHS Team. For any other information, please contact Amazon customer support | Wall Mount is not included in the box and will be charged at the time of installation|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description",3449700,59,5,2
Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),tizum-high-speed-hdmi-cable-with-ethernet-supports-3d-4k-for-all-hdmi-devices-laptop-computer-gaming-console-tv-set-top-box-15-meter-5-feet,"Latest Standard HDMI A Male to A Male Cable: Supports Ethernet, 3D, 4K video and Audio Return Channel (ARC)|Connects Blu-ray players, Fire TV, Apple TV, PS4, PS3, Xbox One, Xbox 360, Computers, DVD Players, Set Top Box, Dish TV Box, and other HDMI-enabLED devices to TVs, displays, A/V receivers and more.Suitable For Mp3, Gaming Device, Mobile, Tablet, Laptop|Cable allows you to share an Internet connection among multiple devices without the need for a separate Ethernet cable|Meets HDMI 1.4 Standards (4K Video at 24 Hz, 2160p, 48 bit/px color depth) that supports bandwidth up to 10.2Gbps and backwards compatible with earlier versions|✔ Gold Plate HDMI Cable of Length: 5 Feet/ 1.8 Meters",59700,16,3,2
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),oneplus-80-cm-32-inches-y-series-hd-ready-led-smart-android-tv-32y1-black,"Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices, Dimensions(TV With Stand) - 71.3cm*20cm*46.9cm, VESA Hole Pitch - 20cm*20cm|Sound : 20 Watts Output | Dolby Audio|Smart TV Features: Android TV 9.0 | OnePlus Connect | Google Assistant | Play Store | Chromecast | Shared Album | Supported Apps : Netflix, YouTube, Prime video | Content Calendar | OxygenPlay|Display : LED Panel | Noise Reduction | Colour Space Mapping |Dynamic Contrast | Anti-Aliasing | DCI-P3 93% colour gamut | Gamma Engine|Warranty Information: 1 year comprehensive warranty and additional 1 year on panel provided by the manufacturer from date of purchase|Installation/Wall mounting/demo will be arranged by Amazon Home Services. For any other information, please contact Amazon customer support | Wall Mount is not included in the box and will be charged extra at the time of installation|Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided",4499700,60,1,5
"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",ambrane-unbreakable-3-in-1-fast-charging-braided-multipurpose-cable-for-speaker-with-21-a-speed-125-meter-black,"Blazing Charging - All combined 3 in 1 cable supports fast charging with the speed 2.1A to all your gadgets including mobiles, tablets, speakers and much more.|Ultra Durable - The cable is crafted with braided wire giving you an extra tough braided cable with 10000+ bends lifespan cycle.|Universal Compatibility - The 3 in 1 cable gives you universal compatibility with its flexible and high-quality material that comes with a USB type C connector, micro USB connector and lightning connector.|Convenient Length - The durable and flexible cable comes with an ideal length of 1.25 meter which eliminates the struggle of finding nearby switch boards.|180 days manufacturer warranty from the date of purchase.",89700,100,2,2
"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",duracell-usb-c-to-lightning-apple-certified-mfi-braided-sync-charge-cable-for-iphone-ipad-and-ipod-fast-charging-lightning-cable-39-feet-12m-black,"1.2M Tangle Free durable tough braiding sync & charge cable|Supports iOS devices with max output up to 2.4A|Ensure fast and stable data transmission up to 480 Mbps|Up to 10,000+ bend and 10,000+ plugging and unplugging test ensure this cable a longer lifespan|Compatible designed to work flawlessly with MFi or apple devices, iPhone, iMac, iPad etc.|2 Years Warranty",291000,28,2,2
"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",boat-a400-usb-type-c-to-usb-a-20-male-data-cable-2-meter-black,"2 meter special reversible Type-C to USB A male user-friendly design helps you insert the connector in a right way all the time|Data sync and charge for apple new MacBook 12 inch, nexus 5x, nexus 6p, OnePlus 2, pixel c, Lumia 950, Lumia 950 xl, Nokia n1, Chromebook google pixel, Asus zenphone3 and other USB-c devices|Support the maximum 3A fast charging and the speed of data sync up to 480 mbps|Aesthetically designed, aluminium ends, with high-density boAt's premium nylon braiding wrapped around the entire length of the tangle free cable for reinforcement and added durability|One end normal USB type a and other end USB type c",89700,61,5,3
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",amazonbasics-usb-20-a-male-to-a-female-extension-cable-for-personal-computer-printer-black-98-feet3-meters,"One 9.8-foot-long (3 meters) USB 2.0 A-Male to A-Female high-speed extension cable|Extends your USB connection to your computer by 9.8 feet; for use with printers, cameras, mice, keyboards and other USB computer peripherals|Constructed with corrosion-resistant, gold-plated connectors for optimal signal clarity and shielding to minimize interference|Features shielding that provides protection against noise from electromagnetic and radio-frequency signals, keeping your signal clear with less loss of bandwidth for higher performance|Typically, the Male A connector plugs into your computer and the Female A connects to the cable you need extended|1 year limited warranty",59700,100,2,1
"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",ambrane-60w-3a-type-c-fast-charging-unbreakable-15m-l-shaped-braided-cable-pd-technology-480mbps-data-transfer-for-smartphones-tablet-laptops-other-type-c-devices-ablc10-black,"Stay ahead and never miss out with a 3A and 30W fast charging for your devices.|It supports Quick Charge 2.0/ 3.0 technology to keep your devices boosted up.|Its L-shape provides durability and comfort while you charge your favourite gadgets.|It comes with upto 60W flash charge support to make you always stay ahead.|Crafted for convenience, it allows you to charge and sync data with just one cable.",53700,72,4,4
